,additional_info,address,latitude,longitude,name,phone_number,type,url
0,Property Type: Multifamily,6214 N. Winthrop Ave.,41.99501546,-87.65851604,Winthrop Apts.,773-477-7070,Affordable Housing,
1,Property Type: Multifamily,1910 S. Albany Ave.,41.8551334,-87.70306740000001,Resurrection Homes,312-248-8355,Affordable Housing,
2,Property Type: Senior,1501 W. Melrose St.,41.94053116,-87.66638261,Renaissance St. Luke Greenview Place,773-525-1501,Affordable Housing,
3,Property Type: Senior,11701 S. State St.,41.6815901,-87.62262763,All Saints Senior Residence,312-655-7440,Affordable Housing,
4,Property Type: Senior,10450 S. Michigan Ave.,41.70389075,-87.62077116,Victory Center of Roseland,773-468-6400,Affordable Housing,
5,Property Type: Supportive/Males 18-24yrs.,3507 W. North Ave.,41.9099065,-87.71469504,Solid Ground Supportive Housing Program,773-276-4900,Affordable Housing,
6,Property Type: Multifamily,3515-17 W. 23rd St.,41.84975688,-87.71320473,Casa Tabasco,312-248-8355,Affordable Housing,
7,Property Type: ARO,2931-57 N. Harlem Ave.,41.93350027,-87.80644193,2931-57 N. Harlem LLC,708-867-3799,Affordable Housing,
8,Property Type: Senior,6134 S. Cottage Grove Ave.,41.78300119,-87.60613195,The Burnham at Woodlawn Park,773-955-8668,Affordable Housing,
9,Property Type: ARO,3228 N. Clark St.,41.94064621,-87.65140951,Clarkview Apts.,773-562-6149,Affordable Housing,
10,Property Type: Senior,13550 S. Avenue O,41.64845741,-87.54012317,Senior Suites of Hegewisch,773-646-1333,Affordable Housing,
11,Property Type: Multifamily,2656 W. North Ave.,41.91035372,-87.69440401,North & Talman Phase III,773-602-2888,Affordable Housing,
12,Property Type: ARO,2917-39 N. Central Ave.,41.93364805,-87.7661803,2917-39 N. Central,708-867-3799,Affordable Housing,
13,Property Type: Multifamily,1939 W. Lake St.,41.8849038,-87.67585077,Westhaven Park Phase IIC,312-455-0009,Affordable Housing,
14,Property Type: Mutifamily,15 W. 37th St.,41.82720892,-87.62722672,Park Boulevard IIB,773-548-8792,Affordable Housing,
15,Property Type: Senior,9200 S. Burley Ave.,41.72821986,-87.54575578,Victory Center of South Chicago,773-449-2600,Affordable Housing,
16,Property Type: ARO,734 W. Sheridan Rd.,41.95286969,-87.64934018,Viridian on Sheridan,847-250-4900,Affordable Housing,
17,Property Type: ARO,945 N. Western Ave.,41.89889515,-87.68677643,945 Western,773-218-7500,Affordable Housing,
18,Property Type: Senior,5700 N. Harlem Ave.,41.98466628,-87.80707301,Senior Suites of Norwood Park,888-339-2315,Affordable Housing,
19,Property Type: Multifamily,3609 W. Arthington St.,41.86982456,-87.71590385,Homan Square Apartments Phase VI,773-722-7320,Affordable Housing,
20,Property Type: ARO,"6602,6614 W. Diversey Ave.",41.93104976,-87.79077219,"6602, 6614 W. Diversey",708-867-3799,Affordable Housing,
21,Property Type: Multifamily,908 S. Central Park Ave.,41.86966928,-87.71567245,Homan Square Apartments Phase IV,773-722-7320,Affordable Housing,
22,Property Type: Multifamily,4420-24 S. Michigan Ave.,41.81406086,-87.62311222,Geneva Gables,773-924-7700,Affordable Housing,
23,Property Type: Multifamily/Artists,15 S. Homan Ave.,41.88041381,-87.71084273,Switching Station Lofts,312-859-0577,Affordable Housing,
24,Property Type: Supportive Housing,1152 N. Christiana Ave.,41.9025858,-87.71076053,Humboldt Park Residences,773-276-5338 ext. 225,Affordable Housing,
25,Property Type: Multifamily,10 W. 37th St.,41.82744587,-87.62694964,Park Boulevard IIB,773-548-8792,Affordable Housing,
26,Property Type: ARO,2733 W. Belden Ave.,41.92282434,-87.69674313,MiCA,312-702-2519,Affordable Housing,
27,Property Type: Supportive Housing,4946 N. Sheridan Road,41.97294612,-87.65506712,Harold Washington Apts.,312-447-4621,Affordable Housing,
28,Property Type: Senior,6650 W. Belden Ave.,41.92130822,-87.79209096,The Montclare Senior Residences,773-237-3831,Affordable Housing,
29,Property Type: ARO,927 W. Irving Park Rd.,41.95439818,-87.65321906,927 W. Irving,773-665-0103,Affordable Housing,
30,Property Type: Senior,825 W. 118th St.,41.67950676,-87.6430113,Kennedy Jordan Manor,773-568-2929,Affordable Housing,
31,Property Type: Supportive Housing,12045 S. Emerald Ave.,41.67469008,-87.64051484,Hancock House,773-568-3000,Affordable Housing,
32,Property Type: Multifamily,4657 S. Drexel Blvd,41.80971394,-87.60375337,Jazz on the Boulevard (scattered sites),312-660-1300,Affordable Housing,
33,Property Type: Senior LGBTQ,3600 N. Halsted St.,41.94740174,-87.64963658,Town Hall Apts.,773-472-6463,Affordable Housing,
34,Property Type: Senior,2815 W. 79th St.,41.74972646,-87.69327334,Wrightwood Senior Apts.,773-471-7777,Affordable Housing,
35,Property Type: Supportive Housing,2822 W. Jackson Blvd.,41.87753589,-87.69706305,Deborah's Place III,773-638-6490,Affordable Housing,
36,Property Type: Supportive,3208 N. Shefield Ave.,41.94022814,-87.65426349,Buffet Place,312-572-5272,Affordable Housing,
37,Property Type: Multifamily,10 N. Hamlin Ave.,41.88109233,-87.72091009,Lawndale Restoration II Apts. (scattered sites),312-337-5339,Affordable Housing,
38,Property Type: Multifamily,6227-29 S. Cottage Grove Ave.,41.781408,-87.60580712,The Grant at Woodlawn Pk Phase I,312-283-0030,Affordable Housing,
39,Property Type: Multifamily,2014 S. Racine Ave.,41.85469028,-87.65647821,Casa Tabasco,312-850-1935,Affordable Housing,
40,Property Type: Senior,3251 E. 92nd St.,41.72821355,-87.54469279,Victory Center of South Chicago,773-449-2600,Affordable Housing,
41,Property Type: Multifamily,2642-44 W. 12 th Pl,41.86577114,-87.69274143,Park Douglas,773-893-4800,Affordable Housing,
42,Property Type: Multifamily,3503 W. Armitage Ave,41.91720928,-87.71368201,Zapata Apts.,773-227-6332,Affordable Housing,
43,Property Type: Multifamily,4427-33 S. Indiana Ave.,41.813971,-87.62119166,Indiana Manor Town Homes,773-268-5326,Affordable Housing,
