,name,phone,latitude,longitude,addtional_info,type,address,url
0,Lammy's,+13476027077,40.8909116,-73.8489425,Yelp Rating: 3.5 Reviews: 4,restaurants,975 E 233rd St,https://www.yelp.com/biz/lammys-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
1,Cool Running Restaurant,+17183247484,40.89809,-73.85027,Yelp Rating: 4.0 Reviews: 12,restaurants,1802 Nereid Ave,https://www.yelp.com/biz/cool-running-restaurant-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
2,Subway,+17184841447,40.89053,-73.8492,Yelp Rating: 1.5 Reviews: 3,restaurants,980 E 233rd St,https://www.yelp.com/biz/subway-bronx-68?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
3,Popeyes Louisiana Kitchen,+13479454700,40.88941,-73.84335,Yelp Rating: 1.5 Reviews: 6,restaurants,1201 E 233rd St,https://www.yelp.com/biz/popeyes-louisiana-kitchen-bronx-13?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
4,Popeyes Louisiana Kitchen,+17186531100,40.898223,-73.854149,Yelp Rating: 1.0 Reviews: 1,restaurants,4397 White Plains Rd,https://www.yelp.com/biz/popeyes-louisiana-kitchen-bronx-19?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
5,Rincon Latino Restaurant,+19292223241,40.8973541259766,-73.8547973632812,Yelp Rating: 4.0 Reviews: 25,restaurants,4360 White Plains Rd,https://www.yelp.com/biz/rincon-latino-restaurant-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
6,Big Daddy's Caribbean Taste,+17183252381,40.89865,-73.85391,Yelp Rating: 3.5 Reviews: 6,restaurants,4406 White Plains Rd,https://www.yelp.com/biz/big-daddys-caribbean-taste-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
7,H.I.M Ital Health Food Market,+17187980018,40.8977611362934,-73.8547707349062,Yelp Rating: 4.5 Reviews: 35,restaurants,4374B White Plains Rd,https://www.yelp.com/biz/h-i-m-ital-health-food-market-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
8,El Jobo Seafood Restaurant,+13472029446,40.8927373588085,-73.8554345816374,Yelp Rating: 2.5 Reviews: 9,restaurants,748 E 233rd St,https://www.yelp.com/biz/el-jobo-seafood-restaurant-bronx-2?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
9,Paula's Soul Cafe,+17186551022,40.89269,-73.85568,Yelp Rating: 3.5 Reviews: 134,restaurants,746 E 233rd St,https://www.yelp.com/biz/paulas-soul-cafe-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
