,additional_info,address,latitude,longitude,name,phone_number,type,url
0,New Construction,Brooklyn,40.719941,-73.946381,146 BAYARD STREET,,Affordable Housing,
1,New Construction,Brooklyn,40.658634,-73.951509,335 FENIMORE STREET APARTMENTS,,Affordable Housing,
2,Preservation,Bronx,40.899871000000005,-73.857923,DOE. 555 NEREID AVE. MULLER,,Affordable Housing,
3,New Construction,Brooklyn,40.712838,-73.952721,56 AINSLIE STREET,,Affordable Housing,
4,New Construction,Brooklyn,,,CONFIDENTIAL,,Affordable Housing,
5,New Construction,Queens,,,CONFIDENTIAL,,Affordable Housing,
6,Preservation,Manhattan,40.801832,-73.964679,105TH STREET & AMSTERDAM AVENUE PROJECT,,Affordable Housing,
7,Preservation,Manhattan,40.798698,-73.963654,105TH STREET & AMSTERDAM AVENUE PROJECT,,Affordable Housing,
8,Preservation,Bronx,40.885365,-73.91334499999999,HP HENRY HUDSON HDFC.HPO.FY19 (3420 HENRY HUDSON PKWY),,Affordable Housing,
9,New Construction,Brooklyn,40.656971,-73.952375,225 WINTHROP STREET APARTMENTS,,Affordable Housing,
10,New Construction,Brooklyn,40.656973,-73.95232800000001,227 WINTHROP STREET APARTMENTS,,Affordable Housing,
11,New Construction,Bronx,,,CONFIDENTIAL,,Affordable Housing,
12,New Construction,Brooklyn,40.687196,-73.981921,ICL. 50 NEVINS STREET,,Affordable Housing,
13,New Construction,Bronx,40.827907,-73.90876899999999,BRONX PRO.1080 WASHINGTON AVE,,Affordable Housing,
14,New Construction,Bronx,40.838715,-73.91879399999999,1325 JEROME AVENUE,,Affordable Housing,
15,New Construction,Brooklyn,40.675911,-73.932328,1672 DEAN STREET APARTMENTS,,Affordable Housing,
16,New Construction,Brooklyn,40.661606,-73.939886,543 ALBANY AVENUE APARTMENTS,,Affordable Housing,
17,New Construction,Brooklyn,40.677125,-73.957336,912 BERGEN STREET APARTMENTS,,Affordable Housing,
18,New Construction,Brooklyn,40.712525,-73.951787,80 AINSLIE STREET APARTMENTS,,Affordable Housing,
19,New Construction,Brooklyn,40.688767,-73.91928,961 MADISON STREET APARTMENTS,,Affordable Housing,
20,New Construction,Bronx,40.809981,-73.916514,532 EAST 142ND STREET APARTMENTS,,Affordable Housing,
21,New Construction,Brooklyn,40.707596,-73.953194,396 SOUTH 5TH STREET APARTMENTS,,Affordable Housing,
22,New Construction,Brooklyn,40.712990999999995,-73.95214,AINSLIE TOWER,,Affordable Housing,
23,New Construction,Brooklyn,40.693191,-73.941989,238 PULASKI STREET APARTMENTS,,Affordable Housing,
24,New Construction,Brooklyn,40.659478,-73.949209,346 RUTLAND ROAD APARTMENTS,,Affordable Housing,
25,New Construction,Brooklyn,40.685511,-73.915029,1595 BROADWAY APARTMENTS,,Affordable Housing,
26,New Construction,Bronx,40.808126,-73.913135,333 CYPRESS AVENUE APARTMENTS,,Affordable Housing,
27,Preservation,Brooklyn,,,CONFIDENTIAL,,Affordable Housing,
28,New Construction,Brooklyn,40.700431,-73.929299,104 CENTRAL AVENUE APARTMENTS,,Affordable Housing,
29,New Construction,Brooklyn,40.650636,-73.95354,2527 CHURCH AVENUE APARTMENTS,,Affordable Housing,
30,New Construction,Brooklyn,40.632687,-73.94470799999999,1643 NEW YORK AVENUE APARTMENTS,,Affordable Housing,
31,New Construction,Brooklyn,40.632687,-73.94470799999999,1645 NEW YORK AVENUE APARTMENTS,,Affordable Housing,
32,New Construction,Brooklyn,40.652431,-73.953611,146 LINDEN BOULEVARD APARTMENTS,,Affordable Housing,
33,New Construction,Staten Island,,,CONFIDENTIAL,,Affordable Housing,
34,New Construction,Bronx,,,CONFIDENTIAL,,Affordable Housing,
35,New Construction,Brooklyn,40.672317,-73.910803,1543 EAST NEW YORK AVENUE,,Affordable Housing,
36,New Construction,Brooklyn,40.672317,-73.910803,1547 EAST NEW YORK AVENUE,,Affordable Housing,
37,Preservation,Manhattan,40.727153,-73.991518,COOPER SQUARE SENIOR HDFC.HUDMF.FY19,,Affordable Housing,
38,New Construction,Bronx,40.842597,-73.893045,712 EAST 175 STREET APARTMENTS,,Affordable Housing,
39,New Construction,Staten Island,,,CONFIDENTIAL,,Affordable Housing,
40,Preservation,Queens,,,CONFIDENTIAL,,Affordable Housing,
41,New Construction,Queens,,,CONFIDENTIAL,,Affordable Housing,
42,New Construction,Brooklyn,40.662499,-73.935567,ENSEMBLE,,Affordable Housing,
43,New Construction,Brooklyn,40.66447,-73.954608,195 SULLIVAN PLACE,,Affordable Housing,
44,New Construction,Bronx,40.823089,-73.90805300000001,915 EAGLE AVENUE APARTMENTS,,Affordable Housing,
45,New Construction,Brooklyn,40.668296999999995,-73.954613,BEDFORD UNION ARMORY,,Affordable Housing,
46,New Construction,Brooklyn,40.668277,-73.954267,BEDFORD UNION ARMORY,,Affordable Housing,
47,New Construction,Brooklyn,,,CONFIDENTIAL,,Affordable Housing,
48,New Construction,Brooklyn,40.701325,-73.929179,182 JEFFERSON STREET APARTMENTS,,Affordable Housing,
49,New Construction,Brooklyn,40.698948,-73.93256,81 JEFFERSON STREET APARTMENTS,,Affordable Housing,
50,New Construction,Brooklyn,40.698961,-73.93663199999999,34 BELVEDERE STREET APARTMENTS,,Affordable Housing,
51,New Construction,Queens,,,CONFIDENTIAL,,Affordable Housing,
52,New Construction,Queens,,,CONFIDENTIAL,,Affordable Housing,
53,New Construction,Brooklyn,40.725156,-73.94059,70 SUTTON STREET APARTMENTS,,Affordable Housing,
54,New Construction,Brooklyn,40.725206,-73.940601,72 SUTTON STREET APARTMENTS,,Affordable Housing,
55,Preservation,Manhattan,40.765212,-73.99139,464-68 W 51 ST HDFC.GHPP.FY19,,Affordable Housing,
56,Preservation,Manhattan,40.764833,-73.990224,464-68 W 51 ST HDFC.GHPP.FY19,,Affordable Housing,
57,New Construction,Queens,,,CONFIDENTIAL,,Affordable Housing,
58,New Construction,Brooklyn,40.680305,-73.948122,1328 FULTON STREET APARTMENTS,,Affordable Housing,
59,New Construction,Brooklyn,40.69536,-73.942697,VERNON AVENUE APARTMENTS,,Affordable Housing,
60,New Construction,Queens,40.762673,-73.917103,30-68 38TH STREET APARTMENTS,,Affordable Housing,
61,New Construction,Brooklyn,40.692524,-73.941416,875 DEKALB AVENUE APARTMENTS,,Affordable Housing,
62,New Construction,Queens,,,CONFIDENTIAL,,Affordable Housing,
63,New Construction,Brooklyn,40.696096999999995,-73.90736600000001,1424 HANCOCK STREET APARTMENTS,,Affordable Housing,
64,New Construction,Manhattan,40.809805,-73.947707,2121 7TH AVENUE APARTMENTS,,Affordable Housing,
65,Preservation,Manhattan,40.861702,-73.926969,21 ARDEN STREET,,Affordable Housing,
66,New Construction,Brooklyn,,,CONFIDENTIAL,,Affordable Housing,
67,New Construction,Queens,,,CONFIDENTIAL,,Affordable Housing,
68,New Construction,Brooklyn,40.69587,-73.926757,253 EVERGREEN AVENUE APARTMENTS,,Affordable Housing,
69,New Construction,Brooklyn,40.692509,-73.916772,143 WOODBINE STREET APARTMENTS,,Affordable Housing,
70,New Construction,Queens,40.739657,-73.894221,J&J TOWER/46-02 70 STREET,,Affordable Housing,
71,New Construction,Brooklyn,,,CONFIDENTIAL,,Affordable Housing,
72,New Construction,Manhattan,40.804265,-73.93539,MEC E. 125TH ST. PARCEL B WEST,,Affordable Housing,
73,New Construction,Manhattan,40.801083,-73.963173,WSFSSH. 145 WEST 108TH ST. VALLEY LODGE,,Affordable Housing,
