,name,phone,latitude,longitude,addtional_info,type,address,url
0,El Gallo Bravo,+17736543709,41.96858,-87.72145,Yelp Rating: 3.5 Reviews: 70,restaurants,3714 W Lawrence Ave,https://www.yelp.com/biz/el-gallo-bravo-chicago-2?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
1,Chicago Kalbi,+17736048183,41.9685599,-87.72277,Yelp Rating: 4.0 Reviews: 297,restaurants,3752 W Lawrence Ave,https://www.yelp.com/biz/chicago-kalbi-chicago-2?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
2,Nick's  Pit  Stop,+17736810117,41.96859,-87.7203,Yelp Rating: 4.0 Reviews: 37,restaurants,3652 W Lawrence Ave,https://www.yelp.com/biz/nicks-pit-stop-chicago-4?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
3,La Piramide,+17734788522,41.96807,-87.72002,Yelp Rating: 4.5 Reviews: 6,restaurants,3645 W Lawrence Ave,https://www.yelp.com/biz/la-piramide-chicago?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
4,Galapagos Cafe,+17737548265,41.96857,-87.72337,Yelp Rating: 3.5 Reviews: 16,restaurants,3800 W Lawrence Ave,https://www.yelp.com/biz/galapagos-cafe-chicago-2?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
5,Salsa's Grill,+17732936411,41.9685599,-87.7236099,Yelp Rating: 4.5 Reviews: 29,restaurants,3808 W Lawrence,https://www.yelp.com/biz/salsas-grill-chicago?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
6,Taqueria y Cafeteria Siglo XX,+17732677129,41.9684749,-87.7191623,Yelp Rating: 4.0 Reviews: 15,restaurants,3626 W Lawrence Ave,https://www.yelp.com/biz/taqueria-y-cafeteria-siglo-xx-chicago?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
7,Los Flacos,+18728060025,41.9685047,-87.7239459,Yelp Rating: 3.5 Reviews: 47,restaurants,3818 W Lawrence Ave,https://www.yelp.com/biz/los-flacos-chicago?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
8,Hiromi's Oriental Restaurant,+17735886764,41.9680824279785,-87.7187194824219,Yelp Rating: 3.5 Reviews: 10,restaurants,3609 W Lawrence Ave,https://www.yelp.com/biz/hiromis-oriental-restaurant-chicago?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
9,Rojo Gusano,+17735394398,41.9684136,-87.7246131,Yelp Rating: 4.0 Reviews: 208,restaurants,3830 W Lawrence Ave,https://www.yelp.com/biz/rojo-gusano-chicago-2?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
